label,city_id
Emiliano Zapata,LkDTtwJg3gokEUT7nBH99w
Epazoyucan,om64us0atLB1wxt7VxaAQw
Francisco I. Madero,NPqg_3JrX2Kxgf-07gk6QQ
Huasca de Ocampo,P7-gpK0s8y9eWjVbdTv79A
Huautla,NFb4HNg35Aq9peKiz6IJJQ
Huazalingo,rhfok-mIu1jXD7PyZuKATQ
Huehuetla,8mj3PDuN67-_z4aLREcxiA
Huejutla de Reyes,I8UncSqDW6sTDhfLhYwQTg
Huichapan,O_7E_PtZhT6iQIWCacMbpw
Ixmiquilpan,ZYJJPPkpXZzQKlePxvq9yA
Jacala de Ledezma,AJsyv2zl8DmdeGumbshMnA
Jaltocán,DBfffev6sRVOlOtBXxT3Lw
Juárez Hidalgo,kdgsI-F6Uzd4TCny1tj3vw
La Misión,ww8HJVc4f2nIwkJl1ankaA
Lolotla,-rZQFVBW87BDDqdX79q0Sg
Metepec,TvP8-pMJo_rJzDn9rvLvcA
Metztitlán,5PAbD3ng_m-FMNWZ_Co5MQ
Mineral de la Reforma,jYV1m6jYFYtZZVMdCOn9ag
Mineral del Chico,dNJCBOgHmzdTKaYf8g3m_w
Mineral del Monte,H4QDwQZTgjK52-SBUxwk2Q
Mixquiahuala de Juárez,fxA_xwS-16cbe43UT7yF0w
Molango de Escamilla,Hij-y5crFC8CpeKlsEEwZw
Nicolás Flores,CZdOe9jRPN0FfFP7dMoIJw
Nopala de Villagrán,4pgSAquxK9yDgxS2dLvh1g
Omitlán de Juárez,TtYXVC7xGS_h23pNuVYKUw
Pachuca de Soto,TF5SC9iqDk2VXWW1zgj8SA
Pacula,O_oBwilW6lFm28sjYA5bOg
Pisaflores,qlQpvJH3M6u2w8K3ASuvqg
Progreso de Obregón,Lgw-nDuT3gt8EkBAm-s55g
San Agustín Metzquititlán,GVoy_LMqWUlelUymqRgJAQ
San Agustín Tlaxiaca,E5DK4GVbrGpnFcQ8PSStNQ
San Bartolo Tutotepec,GZ_hcm-fX9ptiNTFUVdJaA
San Felipe Orizatlán,7ncnmFkHAlOfgzOmOLHiEg
San Salvador,t3KSzT33cw9Ry7hiPI4dbA
Santiago Tulantepec de Lugo Guerrero,JII8w4fCH666R41wbUgZBQ
Santiago de Anaya,cZyC3bM95p8l0s6cMCpHlg
Singuilucan,hPb8o2HKUqOEVDRJMsZhMQ
Tasquillo,1XrCrGFKJilfIUN-EJck3A
Tecozautla,VaG_X_OOh4nDiqAlRYvIaQ
Tenango de Doria,GpzpWw_lxTToiicsC7mR2g
Tepeapulco,rg6wAs9fqY2QQUoMWZ_L1A
Tepehuacán de Guerrero,IqpKhVW9Zpfg-HzvWRnbnA
Tepeji del Río de Ocampo,9D-i6h9IW0lHEt6KapsycQ
Tepetitlán,dRV3MVwDHKW82lpcyc2lRQ
Tetepango,pLG0lnRvH_BPpOwuZ22KjA
Tezontepec de Aldama,PcZBikhK8nO9Bp9b45e2Tg
Tianguistengo,hnz4fQGA3o6P_qfz_Dgi0w
Tizayuca,uk1Pt7OZSUMs7tfOHbF0nQ
Tlahuelilpan,K91prfk7iQylR8mUzJOdXA
Tlahuiltepa,9zSbCid2dzSJ5BpEFCh_hA
Tlanalapa,QOu45-d3KBUgMSmSQg59GQ
Tlanchinol,DGv8jv_BGIyHbRBFNy-JXQ
Tlaxcoapan,Kys2UkrXKozTABVkd9MaLg
Tolcayuca,uH0uOQNIhid9AnRBA-Qh9g
Tula de Allende,ltNQWGdGV6fbI9cnLCGd-w
Tulancingo de Bravo,SxqsjSkIk6Sq7n9C4OY6fA
Villa de Tezontepec,sxVcN5BnmgJ2qnZ62rX4Mw
Xochiatipan,_XY94JBi4-2QFMr2R6H3-A
Xochicoatlán,euT9AHC3GDpe_eyRKZgKng
Yahualica,9j3__2ddGV36_-y44HqWBA
Zacualtipán de Ángeles,_p9vh-66cNIrvlsHob8Uyw
Zapotlán de Juárez,1OLC7n5HJmH96KOl50DlnQ
Zempoala,P85l0fHrvLfFMrN-dFrsUg
Zimapán,cVuuMRnzRCFA6qByMWnPPQ
Acuitzio,VKk1Q74Fx3yWDucsgxuffQ
Aguililla,aU9Nw9QFU9Xm6beVgcEqlA
Angamacutiro,fLajuM2g_6uBTjN7SUHeSw
Angangueo,5f6C_j7N_KrDFap6Pq3mrQ
Apatzingán,gro788-NyNGj4Qs7AECqXQ
Aporo,lv8s4mmg4tquNhZ9w3rO8g
Aquila,qXOcgOlHBI_RXq03HcSDnw
Ario,YpvmSjhDvVuDxRUSrVUmNg
Arteaga,OW3-fpqxK5nwvVdKSdK2UQ
Briseñas,Hy3xC4TMxZvgC5a2_qw9EQ
Buenavista,mVLqRl6Ddq9167a6yMBVaw
Carácuaro,VbMbRdgcfGgpxAEK5OPoTA
Charapan,xH9u3I41Nj7Zjxnzjo3zTw
Charo,KSiogysElVfwVTra_aINSQ
Chavinda,O_Y7Sr879Wks8fC-kylHJg
Cherán,fO26XIhsvy9roHgP_sAZvQ
Chilchota,xBDYyCEqvfXsxln0VGwGGg
Chinicuila,NxhOxbLE63hf4lP1JrEOhQ
Chucándiro,Xslh1s51JYsCjYHopaC96Q
Churintzio,IuqSpTNMWejKEeOftiMW-A
Churumuco,Y8ZrXrKDLBvr-rAKs9eXHQ
Coahuayana,A_z58SAz0D0DZyvdXh-JAA
Coalcomán de Vázquez Pallares,loGxbi4pI8BhrZYICOpTDA
Coeneo,1R2TyTwNbAqVxat6vysYkg
Cojumatlán de Régules,279HqNqVjSN_fOZDvTbxqg
Contepec,2kXy_ZrO8phsFUP4KNcvYA
Copándaro,sNZxdozJ3vEiGJ-dZR3I7g
Cotija,XEkZgJ0Zcj8T2qIdWATO6g
Cuitzeo,cNm8pxKgtnFrWAIq4UpMzw
Ecuandureo,KjjFFGIuhEMrmnW2I2ORWA
Epitacio Huerta,BSLn03h1PydvquMDomVJ6g
Erongarícuaro,ewtwuXETlhWC35FW5zDehQ
Gabriel Zamora,0RNhPArGhZO_01mq3TyOVA
Hidalgo,vUS08WHq73swo9Y2MrBPFg
Huandacareo,fsjNIXncjGLRK3FgxgCrzg
Huaniqueo,Dq4676-lrtd0F100Qwxszg
Huetamo,6xRl_azhAJ7MoF7_WENdCw
Huiramba,CHsSx_jIF8Nfl8L1ALqkmA
Indaparapeo,FVTBzBzftpHZbQdXXh51eg
Irimbo,MXy1lmHFekbloUMYh-RUkw
Ixtlán,AWYnUd_JKvQlx_1d57WPTg
Jacona,tm0wqk9kd9NAleoUU4SFkg
Jiménez,RTumCvCf4bVaWe2WMFapJw
Jiquilpan,YN4uEz5TCjjXQF55upHaWg
